0 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-35-205.ec2.internal/172.31.35.205:8032
1710 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
1720 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
1722 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev 60b8618a21bca805756fb1bc393c18c2512e4fc4]
2474 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
2623 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1488089367153_0001
2968 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1488089367153_0001
3008 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-35-205.ec2.internal:20888/proxy/application_1488089367153_0001/
3009 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1488089367153_0001
13346 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488089367153_0001 running in uber mode : false
773466 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 83% reduce 12%
784488 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 84% reduce 12%
788495 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 84% reduce 13%
796509 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 85% reduce 13%
806527 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 86% reduce 13%
813540 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 87% reduce 13%
820552 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 88% reduce 13%
828566 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 89% reduce 13%
834577 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 89% reduce 15%
839585 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 90% reduce 15%
847600 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 91% reduce 15%
854612 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 91% reduce 17%
857617 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 92% reduce 17%
865632 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 93% reduce 17%
871645 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 94% reduce 17%
878657 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 95% reduce 17%
885673 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 95% reduce 18%
886675 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 96% reduce 19%
888679 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 96% reduce 21%
896693 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 96% reduce 23%
900701 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 97% reduce 23%
909725 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 97% reduce 25%
915741 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 98% reduce 25%
916743 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 98% reduce 26%
917745 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 98% reduce 27%
936778 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 98% reduce 29%
